Name;M;M1;N;X0;eps;h;n;r0;repetition;rho;sigma;tipo;average;max;min;timeSGD
N:200-n:3-r0:1-rho:0.7-M:10;10;1000000;200;0,5;0,01;0,01;3;1;100;0,7;0,5;lagrange;156,64;782;13;0,706434341
N:200-n:3-r0:5-rho:0.9-M:1;1;1000000;200;0,5;0,01;0,01;3;5;100;0,9;0,5;lagrange;1072,61;4999;142;3.966.013.721.039.990
N:200-n:3-r0:5-rho:0.9-M:100;100;1000000;200;0,5;0,01;0,01;3;5;100;0,9;0,5;lagrange;35,38;162;10;0,239789008
N:200-n:3-r0:5-rho:0.9-M:10;10;1000000;200;0,5;0,01;0,01;3;5;100;0,9;0,5;lagrange;164,22;716;23;0,746508741
N:200-n:3-r0:1-rho:0.6-M:1;1;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;1114,54;4542;85;39.840.791.394.500.000
N:200-n:3-r0:1-rho:0.8-M:100;100;1000000;200;0,5;0,01;0,01;3;1;100;0,8;0,5;lagrange;36,78;518;4;0,247629687
N:200-n:3-r0:5-rho:0.8-M:10;10;1000000;200;0,5;0,01;0,01;3;5;100;0,8;0,5;lagrange;172,74;541;18;0,795683052
N:200-n:3-r0:1-rho:0.7-M:1;1;1000000;200;0,5;0,01;0,01;3;1;100;0,7;0,5;lagrange;1155,05;4999;89;41.299.481.571
N:200-n:3-r0:5-rho:0.8-M:100;100;1000000;200;0,5;0,01;0,01;3;5;100;0,8;0,5;lagrange;37,05;123;9;0,260994414
N:200-n:3-r0:1-rho:0.7-M:10;10;1000000;200;0,5;0,01;0,01;3;1;100;0,7;0,5;lagrange;174,69;1718;15;0,793296203
N:200-n:3-r0:5-rho:0.8-M:1;1;1000000;200;0,5;0,01;0,01;3;5;100;0,8;0,5;lagrange;1374,56;4999;177;4.964.833.685.120.000
N:200-n:3-r0:1-rho:0.7-M:100;100;1000000;200;0,5;0,01;0,01;3;1;100;0,7;0,5;lagrange;37,57;273;2;0,259049071
N:200-n:3-r0:5-rho:0.7-M:10;10;1000000;200;0,5;0,01;0,01;3;5;100;0,7;0,5;lagrange;219,98;645;43;0,999005617
N:200-n:3-r0:1-rho:0.8-M:1;1;1000000;200;0,5;0,01;0,01;3;1;100;0,8;0,5;lagrange;1601,5;4999;113;5.710.629.284.550.000
N:200-n:3-r0:5-rho:0.7-M:100;100;1000000;200;0,5;0,01;0,01;3;5;100;0,7;0,5;lagrange;39,44;84;15;0,267368621
N:200-n:3-r0:1-rho:0.8-M:10;10;1000000;200;0,5;0,01;0,01;3;1;100;0,8;0,5;lagrange;257,92;2478;10;11.687.043.163.899.900
N:200-n:3-r0:5-rho:0.7-M:1;1;1000000;200;0,5;0,01;0,01;3;5;100;0,7;0,5;lagrange;1756,15;4934;335;6.278.824.070.359.990
N:200-n:3-r0:1-rho:0.7-M:10000;10000;1000000;200;0,5;0,01;0,01;3;1;100;0,7;0,5;lagrange;;;;
N:200-n:3-r0:1-rho:0.7-M:1000;1000;1000000;200;0,5;0,01;0,01;3;1;100;0,7;0,5;lagrange;6,31;44;2;0,20530982
N:200-n:3-r0:5-rho:0.6-M:100;100;1000000;200;0,5;0,01;0,01;3;5;100;0,6;0,5;lagrange;50,56;111;16;0,341455663
N:200-n:3-r0:5-rho:0.6-M:10;10;1000000;200;0,5;0,01;0,01;3;5;100;0,6;0,5;lagrange;355,71;699;59;1.608.990.236.589.990
N:200-n:3-r0:5-rho:0.6-M:1;1;1000000;200;0,5;0,01;0,01;3;5;100;0,6;0,5;lagrange;3201,11;4999;541;114.899.001.898
N:200-n:3-r0:1-rho:0.6-M:10000;10000;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;2,63;6;2;0,968653821
N:200-n:3-r0:1-rho:0.6-M:1000;1000;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;6,11;33;2;0,194927599
N:200-n:3-r0:1-rho:0.9-M:100;100;1000000;200;0,5;0,01;0,01;3;1;100;0,9;0,5;lagrange;80,08;993;3;0,53736261
N:200-n:3-r0:1-rho:0.9-M:10;10;1000000;200;0,5;0,01;0,01;3;1;100;0,9;0,5;lagrange;990,91;4999;7;4.478.152.144.849.990
N:200-n:3-r0:1-rho:0.9-M:1;1;1000000;200;0,5;0,01;0,01;3;1;100;0,9;0,5;lagrange;3564,75;4999;97;12.669.955.978.930.000
N:100-n:8-r0:10-rho:0.9-M:10000;10000;1000000;100;0,5;0,01;0,01;8;10;100;0,9;0,5;lagrange;4;4;4;13.111.730.836.700.000
N:100-n:8-r0:10-rho:0.9-M:1000;1000;1000000;100;0,5;0,01;0,01;8;10;100;0,9;0,5;lagrange;5,11;16;3;0,122400231
N:100-n:8-r0:10-rho:0.9-M:100;100;1000000;100;0,5;0,01;0,01;8;10;100;0,9;0,5;lagrange;22,35;213;5;0,085848273
N:100-n:8-r0:10-rho:0.9-M:10;10;1000000;100;0,5;0,01;0,01;8;10;100;0,9;0,5;lagrange;132,53;397;16;0,30935245
N:100-n:8-r0:10-rho:0.9-M:1;1;1000000;100;0,5;0,01;0,01;8;10;100;0,9;0,5;lagrange;973,04;3661;145;178.546.030.529.993
N:100-n:8-r0:10-rho:0.8-M:10000;10000;1000000;100;0,5;0,01;0,01;8;10;100;0,8;0,5;lagrange;4,02;6;4;13.087.474.974.199.700
N:100-n:8-r0:10-rho:0.8-M:1000;1000;1000000;100;0,5;0,01;0,01;8;10;100;0,8;0,5;lagrange;5,2;9;4;0,124118589
N:100-n:8-r0:10-rho:0.8-M:100;100;1000000;100;0,5;0,01;0,01;8;10;100;0,8;0,5;lagrange;17,94;53;5;0,067957346
N:100-n:8-r0:10-rho:0.8-M:10;10;1000000;100;0,5;0,01;0,01;8;10;100;0,8;0,5;lagrange;139,21;523;23;0,323090398
