Name;K;M;M1;N;N1;T;X0;eps;h;n;r0;repetition;rho;sigma;tau;tipo;average;max;min;timeSGD
r0:5-rho:0.9-M:10000-K:0.001-tau:0.1-n:3;0,001;10000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;0,1;lagrange;8,4;11;8;31.058.203.944.994.600
r0:5-rho:0.9-M:10000-K:0-tau:1-n:8;0;10000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;1;lagrange;4;4;4;26.216.363.483.006.700
r0:5-rho:0.9-M:10000-K:0-tau:1-n:7;0;10000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;1;lagrange;4;4;4;2.399.989.112.700.130
r0:5-rho:0.9-M:10000-K:0-tau:1-n:6;0;10000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;1;lagrange;5,1;6;5;27.426.047.105.996.900
r0:5-rho:0.9-M:10000-K:0-tau:1-n:5;0;10000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;1;lagrange;5,2;6;5;24.723.821.842.999.300
r0:5-rho:0.9-M:10000-K:0-tau:1-n:4;0;10000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;1;lagrange;7;7;7;29.312.651.129.999.700
r0:5-rho:0.9-M:10000-K:0-tau:1-n:3;0;10000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;1;lagrange;8,2;10;8;3.002.946.913.499.900
r0:5-rho:0.9-M:10000-K:0-tau:0.5-n:8;0;10000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;0,5;lagrange;4,1;5;4;2.695.175.145.599.930
r0:5-rho:0.9-M:10000-K:0-tau:0.5-n:7;0;10000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;0,5;lagrange;4;4;4;23.876.798.597.004.300
r0:5-rho:0.9-M:10000-K:0-tau:0.5-n:6;0;10000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;0,5;lagrange;5;5;5;26.866.728.385.000.800
r0:5-rho:0.9-M:10000-K:0-tau:0.5-n:5;0;10000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;0,5;lagrange;5;5;5;2.380.204.730.299.730
r0:5-rho:0.9-M:10000-K:0-tau:0.5-n:4;0;10000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;0,5;lagrange;7;7;7;29.493.656.969.003.400
r0:5-rho:0.9-M:10000-K:0-tau:0.5-n:3;0;10000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;0,5;lagrange;8,1;9;8;3.007.670.207.499.900
r0:5-rho:0.9-M:10000-K:0-tau:0.1-n:8;0;10000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;0,1;lagrange;4;4;4;2.625.749.358.200.110
r0:5-rho:0.9-M:10000-K:0-tau:0.1-n:7;0;10000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;0,1;lagrange;4;4;4;23.963.518.800.999.700
r0:5-rho:0.9-M:10000-K:0-tau:0.1-n:6;0;10000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;0,1;lagrange;5;5;5;26.793.235.657.998.500
r0:5-rho:0.9-M:10000-K:0-tau:0.1-n:5;0;10000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;0,1;lagrange;5,3;6;5;2.519.257.163.599.830
r0:5-rho:0.9-M:10000-K:0-tau:0.1-n:4;0;10000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;0,1;lagrange;6,9;7;6;2.907.204.977.500.070
r0:5-rho:0.9-M:10000-K:0-tau:0.1-n:3;0;10000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;0,1;lagrange;8,3;11;8;30.683.010.108.004.900
r0:5-rho:0.9-M:1000-K:0.0003-tau:1-n:8;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;1;lagrange;6,2;14;4;0,300471639
r0:5-rho:0.9-M:1000-K:0.0003-tau:1-n:7;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;1;lagrange;5,9;8;4;0,266391493
r0:5-rho:0.9-M:1000-K:0.0003-tau:1-n:6;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;1;lagrange;10,9;25;5;0,4421857
r0:5-rho:0.9-M:1000-K:0.0003-tau:1-n:5;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;1;lagrange;6,8;11;5;0,259872018
r0:5-rho:0.9-M:1000-K:0.0003-tau:1-n:4;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;1;lagrange;9,5;16;6;0,328409467
r0:5-rho:0.9-M:1000-K:0.0003-tau:1-n:3;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;1;lagrange;12,6;24;8;0,399530374
r0:5-rho:0.9-M:1000-K:0.0003-tau:0.5-n:8;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;0,5;lagrange;7,7;18;4;0,370303686
r0:5-rho:0.9-M:1000-K:0.0003-tau:0.5-n:7;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;0,5;lagrange;5,3;8;4;0,242597853
r0:5-rho:0.9-M:1000-K:0.0003-tau:0.5-n:6;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;0,5;lagrange;7,3;10;5;0,301063787
r0:5-rho:0.9-M:1000-K:0.0003-tau:0.5-n:5;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;0,5;lagrange;7,3;10;5;0,278518693
n = 3, .. , 8 big M;;;1000000;200;200;2;0,5;0,01;0,01;;;10;;0,5;;lagrange;;;;
r0:5-rho:0.9-M:1000-K:0.0003-tau:0.5-n:4;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;0,5;lagrange;10,1;21;7;0,348392704
r0:5-rho:0.9-M:1000-K:0.0003-tau:0.5-n:3;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;0,5;lagrange;12,2;27;8;0,38601393
r0:5-rho:0.9-M:1000-K:0.0003-tau:0.1-n:8;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;0,1;lagrange;7,9;26;4;0,378202552
r0:5-rho:0.9-M:1000-K:0.0003-tau:0.1-n:7;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;0,1;lagrange;6,6;10;4;0,296360847
r0:5-rho:0.9-M:1000-K:0.0003-tau:0.1-n:6;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;0,1;lagrange;9,3;21;5;0,37962813
r0:5-rho:0.9-M:1000-K:0.0003-tau:0.1-n:5;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;0,1;lagrange;8,1;13;5;0,307711463
r0:5-rho:0.9-M:1000-K:0.0003-tau:0.1-n:4;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;0,1;lagrange;9,6;16;7;0,33147987
r0:5-rho:0.9-M:1000-K:0.0003-tau:0.1-n:3;0,0003;1000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;0,1;lagrange;12,7;22;8;0,402211728
r0:5-rho:0.9-M:1000-K:0.0005-tau:1-n:8;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;1;lagrange;8,9;23;4;0,424159061
r0:5-rho:0.9-M:1000-K:0.0005-tau:1-n:7;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;1;lagrange;7,5;16;4;0,334374151
r0:5-rho:0.9-M:1000-K:0.0005-tau:1-n:6;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;1;lagrange;6,2;10;5;0,258100702
r0:5-rho:0.9-M:1000-K:0.0005-tau:1-n:5;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;1;lagrange;7,6;13;5;0,289027875
r0:5-rho:0.9-M:1000-K:0.0005-tau:1-n:4;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;1;lagrange;10,2;15;6;0,352029278
r0:5-rho:0.9-M:1000-K:0.0005-tau:1-n:3;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;1;lagrange;16,8;49;8;0,531543557
r0:5-rho:0.9-M:1000-K:0.0005-tau:0.5-n:8;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;8;5;10;0,9;0,5;0,5;lagrange;9,1;20;4;0,432076173
r0:5-rho:0.9-M:1000-K:0.0005-tau:0.5-n:7;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,9;0,5;0,5;lagrange;6,1;12;4;0,27547905
r0:5-rho:0.9-M:1000-K:0.0005-tau:0.5-n:6;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;6;5;10;0,9;0,5;0,5;lagrange;9,6;24;5;0,392336194
r0:5-rho:0.9-M:1000-K:0.0005-tau:0.5-n:5;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;5;5;10;0,9;0,5;0,5;lagrange;8,1;14;6;0,307357539
r0:5-rho:0.9-M:1000-K:0.0005-tau:0.5-n:4;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;4;5;10;0,9;0,5;0,5;lagrange;12,7;29;6;0,435619942
r0:5-rho:0.9-M:1000-K:0.0005-tau:0.5-n:3;0,0005;1000;1000000;200;200;2;0,5;0,01;0,01;3;5;10;0,9;0,5;0,5;lagrange;12,6;34;8;0,39821534
